Abbr,Name,Offset
HST,Hawaii–Aleutian Standard Time,-10:00
ICT,Indochina Time,+07:00
IDLW,International Date Line West time zone,-12:00
IDT,Israel Daylight Time,+03:00
IOT,Indian Ocean Time,+03:00
IRDT,Iran Daylight Time,+04:30
IRKT,Irkutsk Time,+08:00
IRST,Iran Standard Time,+03:30
IST,Israel Standard Time,+02:00
JST,Japan Standard Time,+09:00
KALT,Kaliningrad Time,+02:00
KGT,Kyrgyzstan Time,+06:00
KOST,Kosrae Time,+11:00
KRAT,Krasnoyarsk Time,+07:00
KST,Korea Standard Time,+09:00
LHST,Lord Howe Summer Time,+11:00
LINT,Line Islands Time,+14:00
MAGT,Magadan Time,+12:00
MART,Marquesas Islands Time,-09:30
MAWT,Mawson Station Time,+05:00
MDT,Mountain Daylight Time (North America),-06:00
MEST,Middle European Summer Time (same zone as CEST),+02:00
MET,Middle European Time (same zone as CET),+01:00
MHT,Marshall Islands Time,+12:00
MIST,Macquarie Island Station Time,+11:00
MIT,Marquesas Islands Time,-09:30
MMT,Myanmar Standard Time,+06:30
MSK,Moscow Time,+03:00
MST,Mountain Standard Time (North America),-07:00
MUT,Mauritius Time,+04:00
MVT,Maldives Time,+05:00
MYT,Malaysia Time,+08:00
NCT,New Caledonia Time,+11:00
NDT,Newfoundland Daylight Time,-02:30
NFT,Norfolk Island Time,+11:00
NOVT,Novosibirsk Time,+07:00
NPT,Nepal Time,+05:45
NST,Newfoundland Standard Time,-03:30
NT,Newfoundland Time,-03:30
NUT,Niue Time,-11:00
NZDT,New Zealand Daylight Time,+13:00
NZST,New Zealand Standard Time,+12:00
OMST,Omsk Time,+06:00
ORAT,Oral Time,+05:00
PDT,Pacific Daylight Time (North America),-07:00
PET,Peru Time,-05:00
PETT,Kamchatka Time,+12:00
PGT,Papua New Guinea Time,+10:00
PHOT,Phoenix Island Time,+13:00
PHST,Philippine Standard Time,+08:00
PHT,Philippine Time,+08:00
PKT,Pakistan Standard Time,+05:00
PMDT,Saint Pierre and Miquelon Daylight Time,-02:00
PMST,Saint Pierre and Miquelon Standard Time,-03:00
PONT,Pohnpei Standard Time,+11:00
PST,Pacific Standard Time (North America),-08:00
PWT,Palau Time,+09:00
PYST,Paraguay Summer Time,-03:00
PYT,Paraguay Time,-04:00
RET,Réunion Time,+04:00
ROTT,Rothera Research Station Time,-03:00
SAKT,Sakhalin Island Time,+11:00
SAMT,Samara Time,+04:00
SAST,South African Standard Time,+02:00
SBT,Solomon Islands Time,+11:00
SCT,Seychelles Time,+04:00
SDT,Samoa Daylight Time,-10:00
SGT,Singapore Time,+08:00
SLST,Sri Lanka Standard Time,+05:30
SRET,Srednekolymsk Time,+11:00
SRT,Suriname Time,-03:00
SST,Singapore Standard Time,+08:00
SYOT,Showa Station Time,+03:00
TAHT,Tahiti Time,-10:00
TFT,French Southern and Antarctic Time,+05:00
THA,Thailand Standard Time,+07:00
TJT,Tajikistan Time,+05:00
TKT,Tokelau Time,+13:00
TLT,Timor Leste Time,+09:00
TMT,Turkmenistan Time,+05:00
TOT,Tonga Time,+13:00
TRT,Turkey Time,+03:00
TST,Taiwan Standard Time,+08:00
TVT,Tuvalu Time,+12:00
ULAST,Ulaanbaatar Summer Time,+09:00
ULAT,Ulaanbaatar Standard Time,+08:00
UTC,Coordinated Universal Time,+00:00
UYST,Uruguay Summer Time,-02:00
UYT,Uruguay Standard Time,-03:00
UZT,Uzbekistan Time,+05:00
VET,Venezuelan Standard Time,-04:00
VLAT,Vladivostok Time,+10:00
VOLT,Volgograd Time,+03:00
VOST,Vostok Station Time,+06:00
VUT,Vanuatu Time,+11:00
WAKT,Wake Island Time,+12:00
WAST,West Africa Summer Time,+02:00
WAT,West Africa Time,+01:00
WEST,Western European Summer Time,+01:00
WET,Western European Time,+00:00
WGST,West Greenland Summer Time,-02:00
WGT,West Greenland Time,-03:00
WIB,Western Indonesian Time,+07:00
WIT,Eastern Indonesian Time,+09:00
WITA,Central Indonesia Time,+08:00
WST,Western Standard Time,+08:00
YAKT,Yakutsk Time,+09:00
YEKT,Yekaterinburg Time,+05:00
Z,Zulu Time (Coordinated Universal Time),+00:00
